Image,Prediction,Correctness
i.rf.1bde06081b096e766f0b1d844c5c0723.jpg,WG619,Incorrect
i.rf.21e0a4790e6f92ab1b6afa92fc472559.jpg,JR9529,Incorrect
i.rf.23b6441e3c27ce09da2f943ff27d1e2a.jpg,WAN239,Incorrect
i.rf.27790e8d6d239854af4079fa93df830e.jpg,VBS4269,Correct
i.rf.290cd93246a962ba438f4961742a5d9b.jpg,MDD7042,Correct
i.rf.2a67c136e86f8e0700f8bcb0c7b0dc7f.jpg,JV9122,Incorrect
i.rf.2bb82b71ee2a8cd87c05e06d816e8d8b.jpg,PFYBB28,Incorrect
i.rf.2bb82b71ee2a8cd87c05e06d816e8d8b.jpg,PFYB28,Incorrect
i.rf.2f3729b363d74cd5f3ada398d48cad79.jpg,WB271,Incorrect
i.rf.30eb747ebab652ea7b9960ff292914a2.jpg,WPB4660,Incorrect
i.rf.317bfc3f25d99352fa6075d72b21a8fb.jpg,BLJ8780,Correct
i.rf.324c256e843d321773f65dd6077a8b04.jpg,WUS9070,Correct
i.rf.3822e9c9876e193c9781d17eb8b4ed9b.jpg,BJR8586,Correct
i.rf.38ead461a8d25789706252786356cf0f.jpg,BJA5494,Correct
i.rf.3bcde544b17c36b6ce2eec787354ba6f.jpg,WPAW890,Incorrect
i.rf.3d914105c2d8efbf89a182f7d708f574.jpg,VW9789,Correct
i.rf.3f82c38d3838106c546f7431b46c362f.jpg,WC1463F,Correct
i.rf.3fd2f21a07b011f4bce9637f7a9be720.jpg,BNR5754,Correct
i.rf.4026dbc5cf64f68bcd13b7b5e173d7b8.jpg,P315,Incorrect
i.rf.40990e76558fe39f78c3ab73b6a905dc.jpg,CDM1836,Correct
i.rf.4131f88b7538098eb208e44326cd9d3f.jpg,PWP3769,Incorrect
i.rf.4131f88b7538098eb208e44326cd9d3f.jpg,PWP376,Incorrect
i.rf.42b94e3903ce0c8a4360c75f40bbd6a0.jpg,WTP9863,Incorrect
i.rf.4312216b8ca84bdf1932ead297283d86.jpg,WQN350,Correct
i.rf.4579a976b6b056b3b39c7a09de67c933.jpg,WPS889B,Correct
i.rf.477eb062516ce8ec74ebff126ae96bd7.jpg,SN5620B,Incorrect
i.rf.49620b0e91fd50955f4e7dcaaec56ca4.jpg,MJ7465,Incorrect
i.rf.52458c3cd5794adde9c3a66ef00da940.jpg,BPR9189,Correct
i.rf.53cb81a0ab792b1e6dda960c704f6b3c.jpg,VQ5177,Incorrect
i.rf.59449bdbfd8d3fd2be0e171cc9724f84.jpg,J125VCU,Incorrect
i.rf.60bca7edbe25ce6bf840fea269997f41.jpg,WC218,Incorrect
i.rf.624a0046be3128ba0475496f67093344.jpg,JMB2792,Correct
i.rf.63329fbf895ab33e42e02d4b9430c791.jpg,PEJ7535,Correct
i.rf.65f108e2cd6cabbbcff51c756b548ab6.jpg,WANS7983,Incorrect
i.rf.6a99746acb6c75cb7df698d1a369b483.jpg,BPBB636,Incorrect
i.rf.6b4b35ea8bd6fd33dc84bd7fc1211bf6.jpg,WCIA63F,Incorrect
i.rf.6ba08eb41a8f061e68f9d9819daf3624.jpg,WPT9053,Correct
i.rf.7085128f616328c2833893df0bd9f5b5.jpg,WDMQA9339,Incorrect
i.rf.70b8eda2f22036c7e783b8733e205ca4.jpg,VCM1999,Correct
i.rf.72f42ef39cc15c91c55c816f0bff1950.jpg,VE426,Incorrect
i.rf.757bdfff488d95965277741681fe8671.jpg,WC172J,Correct
i.rf.781d7afbf9b32a8762bcf8e014c28b49.jpg,MAD0392,Incorrect
i.rf.7894729977b5c26dd42cd8f302392f0d.jpg,JNL8829,Correct
i.rf.7b98193924e047bd81223d047e43a5d7.jpg,WQ2725,Incorrect
i.rf.7bf22ed37b1436084d99470fd495abda.jpg,JQB8486,Incorrect
i.rf.7f6ee87b672105738305ef42075abe6f.jpg,N5256,Incorrect
i.rf.812e74f80b2e0caad691d232fa4c0033.jpg,VDG7712,Incorrect
i.rf.819f39c332686d6df1f5e315d55b8e22.jpg,MSA8999,Incorrect
i.rf.837812e5c60417ee8b7e4329fb2c2a96.jpg,WDRSS0,Incorrect
i.rf.856660cb813950a27b32f992263af2ee.jpg,E262,Incorrect
i.rf.874e54a8c6cabb979478a469bbb0106c.jpg,BLQ3936,Correct
i.rf.8756bdbb98f9b77df347fa2defcb0da0.jpg,JNQ3660,Correct
i.rf.8d64c1f0d0db9f2c222c4a554ff1e85f.jpg,AJRV586,Incorrect
i.rf.8da36eb83998a2d4b763ca41827d71a5.jpg,MAL63K,Incorrect
i.rf.8f6f06868797839d65c1a3df553449b1.jpg,PJF6426,Incorrect
i.rf.8f6f06868797839d65c1a3df553449b1.jpg,PJF642E,Incorrect
i.rf.8f9065a1607bcf1c982a472364c829c5.jpg,WVF8598,Incorrect
i.rf.907597de1e562689fbfb18aa93fd0ca3.jpg,VAQ9609,Correct
i.rf.909d83aa052d07e22133b2ac219d48be.jpg,VCG6305,Correct
i.rf.9218ddf67b35feff8746484a3a5fe0c9.jpg,VEX8610,Correct
i.rf.9238f439b5294c3b7524eacb7d2a13f5.jpg,VCW3427,Incorrect
i.rf.92befc29e13ecba49bd8c906a6d11e76.jpg,WUX7338,Incorrect
i.rf.92befc29e13ecba49bd8c906a6d11e76.jpg,VUX7358,Incorrect
i.rf.932fac9320de4fc31199ab19af721109.jpg,W622AD,Incorrect
i.rf.95c5ff12e062145e994b05d8b8d84b6d.jpg,QAH6,Incorrect
i.rf.99be3bff9755ff6bdab4f3f7c3881322.jpg,JTKQ969,Incorrect
i.rf.99f26b520ad1c4a74584325c08cc4454.jpg,MCX116,Correct
i.rf.9a0b4c62067af5573dfc025689071cce.jpg,PMTQ077,Incorrect
i.rf.9a412634ead5f526b6ca9a3393835fc1.jpg,WJJ3981,Correct
i.rf.a4668e47ab03a6e52622bdd5e9ceadf1.jpg,W73B,Incorrect
i.rf.a4c37fc0ed53940ed2f0bdbccdeb38cb.jpg,MA75,Incorrect
i.rf.a4fc2b5cae35d7247222830311d55db4.jpg,WJJQD2683,Incorrect
i.rf.a91149d9866401886d5e5d7558b8d269.jpg,NCT5577,Correct
i.rf.a99b9cc994319b03aad0dde4e8a84e8a.jpg,NCT5577,Correct
i.rf.acc60a9450914472a75bd367d20a4871.jpg,QV58,Incorrect
i.rf.addf86d137ced77bc227e09cebefa96e.jpg,MCT432,Correct
i.rf.aee5ba32c437ea3e362cea5bbd186564.jpg,W8107,Incorrect
i.rf.af41c3156bc22c2b14435d63ff3e6ea5.jpg,APHT86,Incorrect
i.rf.b0b9902e04cab77e24a5b248bd63c912.jpg,QWN6,Incorrect
i.rf.b26ea15fddcd793152b5b08fc0fecd5f.jpg,ALH4185,Correct
i.rf.b47fbb5cfd3331e23ee0f0346299ea35.jpg,WWK7872,Correct
i.rf.b72494b156e6451bfd2f20f89e6b5a3d.jpg,AJA3518,Correct
i.rf.bd148d82e838af9edf7202a08ef8e011.jpg,WWG5551,Correct
i.rf.bd82aaa3457cba1d7684d0311fdbbf54.jpg,WXJ4130,Correct
i.rf.c14b8d57a57ca5afad077767bacc67bc.jpg,WRA7851,Incorrect
i.rf.c4403fc674ff6d4e1e75276d9c914a52.jpg,VW9789,Correct
i.rf.c5ef2310b71738e4f8e5dcb430c56b6b.jpg,W21,Incorrect
i.rf.c9075e03633a8bd0e4c8c2409db31c85.jpg,PMP6161,Correct
i.rf.cb966122db0f295ad28154d08cd06a38.jpg,S685JMF,Incorrect
i.rf.d40b8a0bf03ea45185dd60f8bb84ec38.jpg,ACF2759,Incorrect
i.rf.d4ccfd151126562606c1d55e13fdec10.jpg,W6056,Incorrect
i.rf.d5e252e1646add2fc5f9369ed93c49c2.jpg,AA0,Incorrect
i.rf.daa8d06a05d666c9ff8f7c2e15ff1768.jpg,VATQA9449,Incorrect
i.rf.dbdc78f511070a52aeb1e8c0ee95e9a4.jpg,BPM5402,Correct
i.rf.ddfde72eca11eb830e1f99a40e049873.jpg,JMB2792,Correct
i.rf.de0b3244abe4bde165e2503b33780685.jpg,WV626V,Incorrect
i.rf.e04e346a65ecdb33c9f5d33c5a844bff.jpg,QW8260,Incorrect
i.rf.e393a6d342213ef1012b44609aba2dd4.jpg,MQDJ011,Incorrect
i.rf.e3aa8fa73e6059b110805ace266d3d50.jpg,JPH9069,Correct
i.rf.e7cfd34b5db5bd8af979ec2bc68afecf.jpg,AJB2287,Correct
i.rf.e81be6eb2c12aa417390114f5006637c.jpg,WC9722E,Correct
i.rf.ea53b7f9f45aea04b4eed41f3de7fb9a.jpg,TTTK7872,Incorrect
i.rf.ea78633c8b0ded1bd7e43106d33db9b8.jpg,PLD7487,Correct
i.rf.ead7aba9fcfdccc67da20c7d5a7e4194.jpg,SAB2652G,Correct
i.rf.ebc3932d90ee86e924a6668b087832b9.jpg,WBR558,Incorrect
i.rf.ebff9b95a25b7b9adcfe717175151df1.jpg,WB8902S,Correct
i.rf.ece6c118e0c00d0de4361a5405e98c7b.jpg,AHV7168,Correct
i.rf.ed7ae93607486d320146562cdd4e05f7.jpg,WPSB698,Correct
i.rf.edb15ef4645323d0af5f3948bc0a8f83.jpg,AAQ620K,Incorrect
i.rf.efd12825e30c38bb399453a8539514ed.jpg,WUX7338,Correct
i.rf.f1b007a3c847b0475abce90ffd70b6df.jpg,PLD9291,Correct
i.rf.f1d0776b608e55350f50fef265d4963d.jpg,JUA6D,Incorrect
i.rf.f26319f78f206ecba0b859a235dd7ddb.jpg,BQU8943,Incorrect
i.rf.f2eca6895927e4e08c8cb9295593ed88.jpg,WXV5557,Correct
i.rf.f3259863d5cfba8767a4ce33333c808e.jpg,QAA3747E,Correct
i.rf.f3b73897a1d90c1838bcf3888a34fbb9.jpg,WA668K,Correct
i.rf.f4a2172109d76acd3e2c44cd06e1dd58.jpg,JRY5963,Incorrect
i.rf.f716e9a7ffb367656d2b9ef9f2811176.jpg,JJB8226,Correct
i.rf.f716e9a7ffb367656d2b9ef9f2811176.jpg,WB822,Correct
i.rf.f876d1b6e04f0a564e2d9df5f12f9ee1.jpg,WD7400A,Correct
i.rf.f8a4426dce25b54e5a469d52a36de5f7.jpg,JGH2,Correct
i.rf.fd0e26f624cb90d37c1fa6e907635844.jpg,BND2180,Correct
i.rf.fdb228b0f7cf0ec7b7d6b4519280d70d.jpg,AHV7168,Correct

Pipeline Accuracy: 46.75% (72/154)
